ID,Employee,Expected Payable Days,Worked Days,PaidOff in Days,Total Payable Days,Expected Working Days,Present in Days,On Duty in Days,Total Worked Days,Paid Off Leave in Days,Holidays in Days,Weekends in Days,Total Paid off in Days,UnpaidOff Leave in Days,Absent in Days,Total Unpaid off in Days,Total Present Hours,Expected Payable Hours,Worked Hours,PaidOff in Hours,Total Payable Hours,Expected Working Hours,Present in Hours,On Duty in Hours,Total Worked Hours,PaidOff Leave in Hours,Holidays in Hours,Weekends in Hours,Total Paid off in Hours,UnpaidOff Leave in Hours,Deviation in Hours,Total UnpaidOff in Hours,Overtime,Total Paid Break Hours,Total Unpaid Break Hours,From,To
233775000000280005,233775000000280005,30.00,0.00,5.00,5.00,25.00,0.00,0.00,0.00,0.00,1.00,4.00,5.00,0.00,25.00,25.00,00:00,240:00,00:00,40:00,40:00,200:00,00:00,00:00,00:00,00:00,08:00,32:00,40:00,00:00,200:00,200:00,00:00,00:00,00:00,01-Sep-2025,30-Sep-2025
233775000000317001,233775000000317001,30.00,0.00,5.00,5.00,25.00,0.00,0.00,0.00,0.00,1.00,4.00,5.00,0.00,25.00,25.00,00:00,240:00,00:00,40:00,40:00,200:00,00:00,00:00,00:00,00:00,08:00,32:00,40:00,00:00,200:00,200:00,00:00,00:00,00:00,01-Sep-2025,30-Sep-2025
233775000000320001,233775000000320001,30.00,21.00,5.00,26.00,25.00,21.00,0.00,21.00,0.00,1.00,4.00,5.00,0.00,4.00,4.00,271:24,240:00,168:00,40:00,208:00,200:00,168:00,00:00,168:00,00:00,08:00,32:00,40:00,00:00,32:00,32:00,103:24,00:00,00:00,01-Sep-2025,30-Sep-2025
233775000000327011,233775000000327011,30.00,21.00,5.00,26.00,25.00,21.00,0.00,21.00,0.00,1.00,4.00,5.00,0.00,4.00,4.00,258:53,240:00,168:00,40:00,208:00,200:00,168:00,00:00,168:00,00:00,08:00,32:00,40:00,00:00,32:00,32:00,90:53,00:00,00:00,01-Sep-2025,30-Sep-2025
233775000000327045,233775000000327045,30.00,21.00,5.00,26.00,25.00,21.00,0.00,21.00,0.00,1.00,4.00,5.00,0.00,4.00,4.00,259:30,240:00,168:00,40:00,208:00,200:00,168:00,00:00,168:00,00:00,08:00,32:00,40:00,00:00,32:00,32:00,91:30,00:00,00:00,01-Sep-2025,30-Sep-2025
233775000000327054,233775000000327054,30.00,21.00,5.00,26.00,25.00,21.00,0.00,21.00,0.00,1.00,4.00,5.00,0.00,4.00,4.00,238:27,240:00,168:00,40:00,208:00,200:00,168:00,00:00,168:00,00:00,08:00,32:00,40:00,00:00,32:00,32:00,70:27,00:00,00:00,01-Sep-2025,30-Sep-2025
233775000000327063,233775000000327063,30.00,20.00,5.00,25.00,25.00,20.00,0.00,20.00,0.00,1.00,4.00,5.00,0.00,5.00,5.00,248:04,240:00,160:00,40:00,200:00,200:00,160:00,00:00,160:00,00:00,08:00,32:00,40:00,00:00,40:00,40:00,88:04,00:00,00:00,01-Sep-2025,30-Sep-2025
233775000000328001,233775000000328001,30.00,20.00,6.00,26.00,25.00,20.00,0.00,20.00,1.00,1.00,4.00,6.00,0.00,4.00,4.00,244:40,240:00,160:00,48:00,208:00,200:00,160:00,00:00,160:00,08:00,08:00,32:00,48:00,00:00,32:00,32:00,84:40,00:00,00:00,01-Sep-2025,30-Sep-2025
233775000000330001,233775000000330001,30.00,21.00,5.00,26.00,25.00,21.00,0.00,21.00,0.00,1.00,4.00,5.00,0.00,4.00,4.00,242:27,240:00,168:00,40:00,208:00,200:00,168:00,00:00,168:00,00:00,08:00,32:00,40:00,00:00,32:00,32:00,74:27,00:00,00:00,01-Sep-2025,30-Sep-2025
233775000000330014,233775000000330014,30.00,21.00,5.00,26.00,25.00,21.00,0.00,21.00,0.00,1.00,4.00,5.00,0.00,4.00,4.00,241:04,240:00,168:00,40:00,208:00,200:00,168:00,00:00,168:00,00:00,08:00,32:00,40:00,00:00,32:00,32:00,73:04,00:00,00:00,01-Sep-2025,30-Sep-2025
